coin,fundingRate,premium,time
SOL,-0.0000539864,-0.0004318913,1687690800134
SOL,-0.000065316,-0.0005225279,1687694400095
SOL,-0.0000632283,-0.0005058261,1687698000066
SOL,-0.0000739306,-0.000591445,1687701600284
SOL,-0.0000479204,-0.000383363,1687705200044
SOL,-0.000046307,-0.0003704556,1687708800047
SOL,-0.000051021,-0.0004081677,1687712400163
SOL,-0.0000478303,-0.0003826423,1687716000153
SOL,-0.0000403898,-0.0003231184,1687719600045
SOL,-0.0000268604,-0.0002148833,1687723200276
SOL,-0.0000380805,-0.0003046443,1687726800173
SOL,-0.0000454923,-0.0003639383,1687730400042
SOL,-0.000033868,-0.0002709444,1687734000378
SOL,-0.0000653793,-0.0005230342,1687737600147
SOL,-0.0000474188,-0.0003793503,1687741200115
SOL,-0.0000565865,-0.0004526922,1687744800029
SOL,-0.0000605601,-0.0004844807,1687748400161
SOL,-0.0000610921,-0.0004887372,1687752000021
SOL,-0.000055302,-0.000442416,1687755600193
SOL,-0.0000531407,-0.0004251254,1687759200139
SOL,-0.0000378839,-0.0003030715,1687762800102
SOL,-0.0000382932,-0.0003063458,1687766400077
SOL,-0.0000333377,-0.0002667013,1687770000117
SOL,-0.0000433755,-0.0003470042,1687773600047
SOL,-0.0000427778,-0.0003422222,1687777200013
SOL,-0.0000310186,-0.0002481489,1687780800056
SOL,-0.0000290888,-0.0002327106,1687784400110
SOL,-0.0000313799,-0.0002510395,1687788000104
SOL,-0.0000386262,-0.0003090096,1687791600160
SOL,-0.0000228288,-0.0001826304,1687795200080
SOL,-0.000009251,-0.0000740081,1687798800279
SOL,0.0000692236,0.0005537887,1687802400011
SOL,0.0000568318,0.0004546541,1687806000098
SOL,0.0000570398,0.000456318,1687809600033
SOL,0.0000285035,0.0002280277,1687813200084
SOL,-0.0000151027,-0.0001208213,1687816800010
SOL,-0.0000027429,-0.0000219431,1687820400151
SOL,-0.0000419876,-0.0003359005,1687824000015
SOL,-0.0000248787,-0.0001990292,1687827600409
SOL,-0.0000137851,-0.000110281,1687831200017
SOL,-0.0000085541,-0.0000684331,1687834800137
SOL,-0.00002079,-0.0001663198,1687838400129
SOL,-0.000016434,-0.0001314724,1687842000028
SOL,-0.0000086429,-0.0000691431,1687845600198
SOL,-0.000002122,-0.000016976,1687849200075
SOL,-0.0000017079,-0.0000136634,1687852800169
SOL,0.0000043199,0.0000345589,1687856400198
SOL,0.0000018,0.0000143997,1687860000025
